Welcome to read an early version of a style guide for the Zero project! :)

/* zero style abbreviations for words/terms and terminology */

indentation etc.
---------------
- see style.c for example code :)

naming identifiers
------------------
- constant [macro] values in all upper case, e.g. TRAPPF
- function names should contain verbs
  - module name + verb + possible object
    - e.g. meminit(), vminitzone()
- n-prefix for number of items
  - e.g. nfile - number of files, nbyte - number of bytes

type sizes
----------
byte	- 8-bit
word	- 16-bit
long    - 32-bit
quad	- 64-bit

abbreviations
-------------
adr     - address
arg	- argument
atr     - attribute(s)
bin     - binary
blk     - block
btn     - button
buf     - buffer
cap     - capability
ch      - character
chk     - check
chr     - character
cnt     - count
conf    - configuration
cons    - console
conv    - convert, conversion
ctrl    - control(ler)
dec     - decimal [number]
desc    - descriptor
dest    - destination
dbl	- double, floating point value (of type double)
dfl     - default
doc     - document
drv     - drive(r)
eth     - ethernet
ev      - event
exec    - execute
fd	- floppy drive, file descriptor
flg	- flag
flt	- fault, floating point value (of type float)
fmt     - format
frm     - frame
func    - function
hd	- hard drive
hex     - hexadecimal
init    - initialise, initialisation
io      - input/output
ipc	- inter-process communications
irq	- interrupt request
kbd     - keyboard
lang    - language
len     - length
lim     - limit
lk      - lock
lpt	- line printer
mach    - machine
mag     - magazine (memory management)
max     - maximum
mem     - memory
mgr     - manager
min     - minimum
mod     - module, modulus
msk	- mask
mtx     - mutex (mutual exclusion lock)
ndx     - index
net     - network
nic     - network interface card
num     - number, ID
oct     - octal
ofs     - offset
op	- operation
par     - parallel
perm	- permissions
pg	- page
pix     - pixel
pkg     - package
pnt     - point
pos     - position
proc    - process
prog    - program
prot	- protection
ptr     - pointer
rect    - rectangle
ret	- return [value]
ser     - serial
sig     - signal
src     - source
stk     - stack
str     - string
sys     - system
tab     - table, array
thr     - thread
tmr	- timer
trap	- trap; interrupt, exception, trap, abort, fault, ...
val     - value
var     - variable
win     - window

